Keyword,Attribute,Actual Attribute,Pros,Cons
videos,display,,Smooth and clear  video recording quality ,Video recording quality not good
fast,processing,Processor,Processor,Processor
Screen,resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
games,smooth,Smooth,Excellent for gaming,Not good for gaming
fast,processing,Processor,Processor,Processor
fast,downloading,downloading,downloading,downloading
video,fast,,Smooth and clear  video recording quality ,Video recording quality not good
Camera,hdr,HDR Mode,HDR Mode is excellent,HDR Mode is not good
Display,HD,HD,Suberb display clarity,Display quality not good
internal,ensures,ensures,,
internal,memory,memory,memory,memory
UI,user friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
Display,clarity,Clear,Suberb display clarity,Display quality not good
fast,delevery,Delivery,Delivery,Delivery
flipkart,delivery,Delivery,Quick Delivery,Delayed Delivery
flipkart,defective,defective,Perfect product delivered,Defective product delivered
video,blur,,Smooth and clear  video recording quality ,Video recording quality not good
videos,blur,,Smooth and clear  video recording quality ,Video recording quality not good
Camera,flash,Flash,Flash performance is good,Poor flash quality
performance,dual core,dual core,dual core,dual core
gaming,performance,performance,Excellent for gaming,Not good for gaming
fast,multi-tasking,multi-tasking,,
video,support,support,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
build,quality,Quality,Good body built quality,Body built not good
video,hangs,,No lag while watching videos,Lags during video watching
speakers,loud,loud,Good sound quality,Poor sound quality
Screen,size,Size,Screen size is perfect,Screen size is not ok
speakers,loud,loud,Good sound quality,Poor sound quality
sound,clarity,Clarity,Good sound quality,Poor sound quality
browsing,speed,Fast,Internet speed is good,Browsing is slow
music,key,key,Good music buttons,Bad music buttons
image,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Camera,daylight,day light,Day light picture quality is superb,day light picture quality is poor
games,smoothly,Smooth,Excellent for gaming,Not good for gaming
hangs,call,call,Phone never hangs during calling for long hours,Phone hangs while calling
music,button,button,Good music buttons,Bad music buttons
touch,sensitive,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
music,button,button,Good music buttons,Bad music buttons
music,button,button,Good music buttons,Bad music buttons
Camera,outdoor,outdoor,Day light picture quality is superb,day light picture quality is poor
flipkart,delivery,Delivery,Quickdelivery,Delayed Delivery
sound,quality,Quality,Good sound quality,Poor sound quality
fast,video,video,,
fast,video,video,,
internal,more,more,,
internal,memory,memory,memory,memory
touch,responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Screen,small,,Screen size is perfect,Screen size is small
Android,Look,Look,Look,Look
Android,Feel,Look,Look,Look
fast,Querty,Querty,Querty,Querty
fast,Querty,Querty,Querty,Querty
memory ,16 GB,16 GB,16 GB,16 GB
storage,16 GB,,,
google,50 GB,51 GB,,
storage,50 GB,,,
storage,Google Drive,,,
fast,Quad Core,Quad Core,,
Android,Latest,,,
budget,Deserving ,Price,It's worth the price,It's not worth the price
budget,superiority,superiority,It's worth the price,It's not worth the price
expandable,no,Memory,Memory,No expandable memory
budget,perfect,Price,It's worth the price,It's not worth the price
built ,good,Quality,Good body built quality,Body built not good
sound,Speaker,Speaker,Good sound quality,Poor sound quality
touch,Response,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
expandable,dont,Memory,Memory,No expandable memory
memory ,Expandable,Expandable,Expandable memory,No expandable memory
Camera,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
budget,power,power,It's worth the price,It's not worth the price
budget,nice,Price,It's worth the price,It's not worth the price
clarity,good,good,Camera and picture quality is good,Camera and picture quality is poor
sound,Clarity,Clarity,Good sound quality,Poor sound quality
budget,nice,Price,It's worth the price,It's not worth the price
video,mp4,,,
fast,Bluetooth,Bluetooth,Bluetooth,Bluetooth
features,Business,Business,Business,Business
clarity,best,best,Camera and picture quality is good,Camera and picture quality is poor
picture,sharpness,sharpness,Camera and picture quality is good,Camera and picture quality is poor
fast,A4 chip,A4 chip,,
Display,Retina,Retina,Retina display is superb,Retina display not upto the mark
service,FaceTime,,,
video,FaceTime,,,
games,Graphic,Graphics,Super graphics,Graphics are not cool
responsive,UI,UI,Great UI,UI is not good
games,Lacks,Lacks,Excellent for gaming,Not good for gaming
Bluetooth,problem,problem,Fast bluetooth sharing,Bluetooth range and sharing is slow
Bluetooth,Support,Support,Fast bluetooth sharing,Bluetooth range and sharing is slow
budget,within,Price,It's worth the price,It's not worth the price
budget,minimal,Low,It's worth the price,It's not worth the price
music,Quality,Quality,Music sound quality is awesome,Music sound quality is poor
delivered,Packed,packaging,Nice packaging,poor packaging
body,Sturdy,Sturdy,Good body built quality,Body built not good
memory ,Expendable,Expandable,Expandable memory,No expandable memory
performance,Battery,Battery,Battery,Battery
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
budget,excellent,Price,It's worth the price,It's not worth the price
build,good,Quality,Good body built quality,Body built not good
applications,Software,,Apps run smoothly,Apps don't run smoothly and hangs
budget,good,Price,It's worth the price,It's not worth the price
sound,Low,Low,Good sound quality,Poor sound quality
headphone,Speaker,Sound,Earphone Sound quality is superb,Earphone sound quality is poor
sound,Earpiece,Earphone,Earphone Sound quality is superb,Earphone sound quality is poor
budget,perfect,Price,It's worth the price,It's not worth the price
image,Zoom,Zoom,Zoom,Zoom
games,pre installed,pre installed,Pre installed gaming apps are cool,Pre installed games are not good
budget,superb,Price,It's worth the price,It's not worth the price
budget,good,Price,It's worth the price,It's not worth the price
budget,within,Price,It's worth the price,It's not worth the price
cheap,best,best,It's worth the price,It's not worth the price
budget,under,Price,It's worth the price,It's not worth the price
fast,very,very,,
fast,good,good,,
budget,Low,Low,It's worth the price,It's not worth the price
sound,Loud,,Good sound quality,Poor sound quality
sound,Clear,Clarity,Good sound quality,Poor sound quality
budget,low,Low,It's worth the price,It's not worth the price
memory ,Support,Support,Support,Support
music,Quality,Quality,Music sound quality is awesome,Music sound quality is poor
build,Compact,Compact,Good body built quality,Body built not good
Camera,good,good,Camera and picture quality is good,Camera and picture quality is poor
Apps,less,Less,Apps run smoothly,Apps don't run smoothly and hangs
music,Files sharing,Files sharing,Files sharing,Files sharing
Audio,send,send,Good sound quality,Poor sound quality
Audio,cannot,cannot,Good sound quality,Poor sound quality
buttons,Call,Call,Call buttons,Call buttons
interface,User friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
connectivity,Fast,Fast,Internet speed is good,Browsing is slow
budget,tight,Price,It's worth the price,It's not worth the price
budget,good,Price,It's worth the price,It's not worth the price
fast,Delivery,Delivery,Delivery,Delivery
applications,interesting,,Apps run smoothly,Apps don't run smoothly and hangs
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
heavy,Apps,Apps,Apps,Apps
lag,no,no,No lagging problem,Phone lags
budget,Low,Low,It's worth the price,It's not worth the price
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Store,app,app,Loads of app in app store,Limited apps in app store
connectivity,good,good,Internet speed is good,Browsing is slow
lag,no,no,No lagging problem,Phone lags
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
interface,Simple,Smooth,UI is simple and smooth,UI is complicated and not smooth
snapdeal,Packing,Packaging,Packaging,Packaging
snapdeal,Experience,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
delivered,good,Quick,Quick Delivery,Delayed Delivery
snapdeal,Delivered,Delivery,Quick Delivery,Delayed Delivery
budget,low,Low,It's worth the price,It's not worth the price
budget,super,Price,It's worth the price,It's not worth the price
delivered,pathetic,Delayed ,Quick Delivery,Delayed Delivery
memory ,4 GB,4 GB,4 GB,4 GB
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
memory ,4 GB,4 GB,4 GB,4 GB
Screen,Low,,Good screen resolution and display,Screen resolution and display is poor
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Camera,Flash,Flash,Flash performance is good,Poor flash quality
sound,Clear,Clarity,Good sound quality,Poor sound quality
budget,best,Price,It's worth the price,It's not worth the price
body,liked,Quality,Good body built quality,Body built not good
budget,low,Low,It's worth the price,It's not worth the price
durable,very,Durable,Good body built quality,Body built not good
budget,excellent,Price,It's worth the price,It's not worth the price
applications,Business,Business,Good for using business apps,Not good for business apps
image,Background,Background,Camera and picture quality is good,Camera and picture quality is poor
budget,tight,Price,It's worth the price,It's not worth the price
Design,Sleek,Sleek,Sleek and slim,Heavy and big
applications,interesting,,Apps run smoothly,Apps don't run smoothly and hangs
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Bluetooth,cool,cool,Fast bluetooth sharing,Bluetooth range and sharing is slow
build,Cheap,Cheap,Good body built quality,Body built not good
build,Plastic,Plastic,Plastic body but looks good,Plastic body looks poor
responsive,Screen,Screen,Touch screen is highly sensitive and responsive,Touch is not sensitive 
responsive,Capacitive,Capacitive,Capacitive touch is great,Capacitive touch is slow
sound,Alarm,Alarm,Good sound quality,Poor sound quality
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
built ,poor,poor,Good body built quality,Body built not good
sound,Headset,Earphone,Earphone Sound quality is superb,Earphone sound quality is poor
budget,tight,Price,It's worth the price,It's not worth the price
buttons,Volume,Volume,Volume buttons,Volume buttons
budget,good,Price,It's worth the price,It's not worth the price
fast,very,very,,
sound,Loud,,Good sound quality,Poor sound quality
memory ,4 GB,4 GB,4 GB,4 GB
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
headphone,Volume,Sound,Earphone Sound quality is superb,Earphone sound quality is poor
software,Installing,,,
applications,lot,Lag,Apps run smoothly,Apps don't run smoothly and hangs
lag,little,little,No lagging problem,Phone lags
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
expandable,64 GB,64 GB,,
snapdragon,Dual core,Dual core,Dual core,Dual core
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Camera,Ultimate,Ultimate,Camera and picture quality is good,Camera and picture quality is poor
windows,Apps,Apps,Apps,Apps
expandable,64 GB,64 GB,,
Processor,1 GHZ,1 GHZ,1 GHZ,1 GHZ
Processor,Qualcomm,Qualcomm,Qualcomm,Qualcomm
fast,pretty,pretty,,
Processor,1 GHZ,1 GHZ,1 GHZ,1 GHZ
Processor,Qualcomm,Qualcomm,Qualcomm,Qualcomm
image,5 MP,5 MP,Camera and picture quality is good,Camera and picture quality is poor
operating ,Windows,Windows,Windows,Windows
snapdragon,Qualcomm,Qualcomm,Qualcomm,Qualcomm
Bluetooth,share,Transfer,Fast bluetooth sharing,Bluetooth range and sharing is slow
fast,Response,Response,Response,Response
Ram,512 MB,,,
light,Low,Low,Low light performance is cool,Low light image quality is poor
internet,GPS,GPS,No issues in GPS,GPS problems
features,Supports,Supports,,
office,MS,MS,microsoft,microsoft
features,Facebook,Facebook,Facebook,Facebook
hangs,UI,UI,No lagging problem,Phone lags
UI,Smooth,Smooth,Highly responsive and smooth UI,UI is not responsive and smooth
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
lag,never,no,No lagging problem,Phone lags
performance,Battery,Battery,Battery,Battery
affordable,snapdeal,Price,It's worth the price,It's not worth the price
lag,no,no,No lagging problem,Phone lags
lag,never,no,No lagging problem,Phone lags
fast,very,very,,
Bluetooth,send,Transfer,Fast bluetooth sharing,Bluetooth range and sharing is slow
UI,Simpler,Smooth,UI is simple and smooth,UI is complicated and not smooth
Camera,good,good,Camera and picture quality is good,Camera and picture quality is poor
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
Bluetooth,versatile,versatile,Fast bluetooth sharing,Bluetooth range and sharing is slow
touch,Sensitive,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
lag,never,no,No lagging problem,Phone lags
smooth ,Smooth,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
light,Low,Low,Low light performance is cool,Low light image quality is poor
durable,Plastic,Durable,Plastic body but looks good,Plastic body looks poor
lag,never,no,No lagging problem,Phone lags
Android,Liked,,,
affordable,Price,Price,It's worth the price,It's not worth the price
budget,best,Price,It's worth the price,It's not worth the price
picture,Day Light,Day Light,Day light picture quality is superb,day light picture quality is poor
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
games,Supports,Support,Excellent for gaming,Not good for gaming
lag,without,no,No lagging problem,Phone lags
memory ,8 GB,8 GB,8 GB,8 GB
light,Low,Low,Low light performance is cool,Low light image quality is poor
light,Low,Low,Low light performance is cool,Low light image quality is poor
sensor,Accelerometer,Accelerometer,Accelerometer,Accelerometer
lag,without,no,No lagging problem,Phone lags
budget,best,Price,It's worth the price,It's not worth the price
body,Tough,Sturdy,Good body built quality,Body built not good
budget,best,Price,It's worth the price,It's not worth the price
Camera,excellent,excellent,Camera and picture quality is good,Camera and picture quality is poor
touch,Feather,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Looks,Ultra,Ultra,Awesome looks and design,Design and looks not good
games,Hang,Hang,No hanging while gaming,Hangs while playing games
budget,best,Price,It's worth the price,It's not worth the price
fast,quite,quite,,
Camera,ultimate,ultimate,Camera and picture quality is good,Camera and picture quality is poor
sound,Headphones,Earphone,Earphone Sound quality is superb,Earphone sound quality is poor
snapdragon,Dual Core,Dual Core,Dual Core,Dual Core
windows,Sweep,,,
fast,Discharges,Discharges,,
Camera,5 MP,5 MP,,
Camera,ultimate,ultimate,Camera and picture quality is good,Camera and picture quality is poor
connectivity,direct,direct,Internet speed is good,Browsing is slow
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
online,Snapdeal,,,
Camera,drawback,drawback,Camera and picture quality is good,Camera and picture quality is poor
Camera,Flash,Flash,Flash performance is good,Poor flash quality
Camera,fantastic,fantastic,Camera and picture quality is good,Camera and picture quality is poor
internal,8 GB,8 GB,8 GB,8 GB
light,Low,Low,Low light performance is cool,Low light image quality is poor
lag,no,no,No lagging problem,Phone lags
lag,never,no,No lagging problem,Phone lags
windows,Apps,Apps,Apps,Apps
fast,Heated,Heating,,Heating
Bluetooth,share,Transfer,Fast bluetooth sharing,Bluetooth range and sharing is slow
budget,great,Price,It's worth the price,It's not worth the price
light,Low,Low,Low light performance is cool,Low light image quality is poor
games,Hot,heat,No heating issue while gaming,Phone gets heated while gaming
windows,Apps,Apps,Apps,Apps
software,Windows,Windows,Windows,Windows
lag,without,no,No lagging problem,Phone lags
lag,without,no,No lagging problem,Phone lags
image,Synchronize,Synchronize,Camera and picture quality is good,Camera and picture quality is poor
video,Synchronize,,No issues in video sync,Video sometimes is not properly in sync.
operating ,Windows 8,Windows,Windows,Windows
speakers,Clear,Clear,Good sound quality,Poor sound quality
features,Camera,Camera,,
browsing,Internet,internet,No issues in browsing and internet connectivity,Browsing and connectivity problems
speakers,Loud,Loud,Good sound quality,Poor sound quality
speakers,Clear,Clear,Good sound quality,Poor sound quality
stylish,Sleek,Sleek,Sleek and slim,Heavy and big
games,Lag,lags,No hanging while gaming,Hangs while playing games
Apps,Limited,Less,Apps run smoothly,Apps don't run smoothly and hangs
performance,Smooth,Smooth,Nice performance,
storage,7 GB,,,
Audio,good,Quality,Good sound quality,Poor sound quality
video,Front Camera,,Front camera video recording quality is cool,Quality of front camera video recording not that good
fast,really,really,,
music,Supports,Supports,Supports,Supports
video,Supports,support,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
windows,Apps,Apps,Apps,Apps
budget,great ,Price,It's worth the price,It's not worth the price
lag,without,no,No lagging problem,Phone lags
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
touch,Capacitive,Capacitive,Capacitive touch is great,Capacitive touch is slow
viewing,better,good,Good display viewing angles,Display Viewing angles is poor
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
fast,very,very,,
internet,3G,3G,Speed in 3G browsing is good,Speed in 3G browsing is not good
light,Low,Low,Low light performance is cool,Low light image quality is poor
light,Low,Low,Low light performance is cool,Low light image quality is poor
Camera,super,super,Camera and picture quality is good,Camera and picture quality is poor
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
memory ,bluetooth sharing,bluetooth sharing,bluetooth sharing,bluetooth sharing
fast,windows 8,windows 8,,
fast,very,very,,
lag,without,no,No lagging problem,Phone lags
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,mp4,,,
memory ,small,Less,,Low memory space
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
fast,quite,quite,,
budget,best,Price,It's worth the price,It's not worth the price
light,Low,Low,Low light performance is cool,Low light image quality is poor
Android,Liked,,,
light,Low,Low,Low light performance is cool,Low light image quality is poor
durable,descent,Durable,Good body built quality,Body built not good
lag,doesnot,no,No lagging problem,Phone lags
clarity,super,super,Camera and picture quality is good,Camera and picture quality is poor
budget,low,Low,It's worth the price,It's not worth the price
performance,decent,Smooth,Nice performance,
budget,within,Price,It's worth the price,It's not worth the price
browsing,advanced,advanced,Internet speed is good,Browsing is slow
clarity,good,good,Camera and picture quality is good,Camera and picture quality is poor
lag,no,no,No lagging problem,Phone lags
video,sharing,sharing,Video transfer and sharing is quick,Video transfer and sharing is slow
cheap,got,got,It's worth the price,It's not worth the price
applications,lot,Lag,Apps run smoothly,Apps don't run smoothly and hangs
fast,hang,hanging,,hanging
budget,great,Price,It's worth the price,It's not worth the price
clarity,super,super,Camera and picture quality is good,Camera and picture quality is poor
surfing,awesome,,No issues in browsing and internet connectivity,Browsing and connectivity problems
features,problematic,problematic,,
Store,app,app,Loads of app in app store,Limited apps in app store
sound,bad,,Good sound quality,Poor sound quality
features,exciting,exciting,,
charging,stop,stop,Quick charging,Charging issues
touch,good,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
budget,limited,Low,It's worth the price,It's not worth the price
fast,charging,charging,charging,charging
build,good,Quality,Good body built quality,Body built not good
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
touch,floating,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
software,windows 8,Windows,Windows,Windows
clarity,photos,Picture,Camera and picture quality is good,Camera and picture quality is poor
build,robust,Robust,Good body built quality,Body built not good
sound,humming,,Good sound quality,Poor sound quality
Apps,need,Less,Apps run smoothly,Apps don't run smoothly and hangs
built ,perfect,Quality,Good body built quality,Body built not good
responsive,screen,Screen,Touch screen is highly sensitive and responsive,Touch is not sensitive 
fast,bluetooth,bluetooth,bluetooth,bluetooth
features,great,great,,
touch,fast,fast,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
UI,great,great,Highly responsive and smooth UI,UI is not responsive and smooth
fast,browser,browsing,browsing,browsing
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
windows,low price,,,
windows,touch sense,,,
windows,application,applications,applications,applications
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
memory ,64GB External,64GB,64GB,64GB
durable,very,Durable,Good body built quality,Body built not good
internet,office maps,office maps,No issues in GPS,GPS problems
internet,slow,slow,Internet speed is good,Browsing is slow
sensor,ambient light,,Good ambient light performance,Poor ambient light performance
lag,doesn't,no,No lagging problem,Phone lags
sound,good,,Good sound quality,Poor sound quality
music,easy,easy,Music sound quality is awesome,Music sound quality is poor
Bluetooth,NO,NO,Fast bluetooth sharing,Bluetooth range and sharing is slow
budget,low,Low,It's worth the price,It's not worth the price
fast,OS,OS,OS,OS
fast,Windows 8,Windows 8,,
windows,user friendly,UI,UI,UI
interface,user friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
fast,camera,camera,camera,camera
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
superfast,camera,camera,camera,camera
lag,without,no,No lagging problem,Phone lags
windows,512mb RAM,,,
operating ,light,light,,
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
lag,720p,720p,No lag while watching videos,Lags during video watching
sensor,compass,,Compass,Compass
sensor,ambient light,,Good ambient light performance,Poor ambient light performance
UI,windows 8,windows 9,windows 10,windows 11
windows,clean UI,UI,UI,UI
storage,poor ,,,
storage,internal,internal,good internal memory,low internal memory
sound,headsets,Earphone,Earphone Sound quality is superb,Earphone sound quality is poor
clarity,signal,signal,,
clarity,call,call,,
windows,app list,Apps,Apps,Apps
UI,complecated,complicated,UI is simple and smooth,UI is complicated and not smooth
sensor,ambient light,,Good ambient light performance,Poor ambient light performance
Camera,flash,Flash,Flash performance is good,Poor flash quality
Camera,No,No,Camera and picture quality is good,Camera and picture quality is poor
fast,Pros,Pros,,
lag,no,no,No lagging problem,Phone lags
lag,no,no,No lagging problem,Phone lags
lag,any,any,No lagging problem,Phone lags
storage,microSD,,,
storage,128GB,,,
video,5MP camera,,Smooth and clear  video recording quality ,Video recording quality not good
features,headphone,headphone,,
snapdeal,trust,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
games,processor,processor,Ram and internal memory sufficient for gaming,Ram and memory inadequate for heavy games
hangs,processor,processor,No lagging problem,Phone lags
touch,good,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Camera,great,great,Camera and picture quality is good,Camera and picture quality is poor
hangs,smooth,smooth,No lagging problem,Phone lags
video,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,640p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
features,Emails,Emails,Emails,Emails
features,Pdf,Pdf,,
budget,Low,Low,It's worth the price,It's not worth the price
fast,very,very,,
lag,no,no,No lagging problem,Phone lags
fast,very,very,,
lag,no,no,No lagging problem,Phone lags
fast,Lag,Lag,,
lag,no,no,No lagging problem,Phone lags
fast,very,very,,
heavy,Apps,Apps,Apps,Apps
lag,no,no,No lagging problem,Phone lags
browsing,Internet,internet,No issues in browsing and internet connectivity,Browsing and connectivity problems
windows,Phone,,,
games,Hangs,Hang,No hanging while gaming,Hangs while playing games
video,Lags,Lag ,No lag while watching videos,Lags during video watching
features,Lacking,Lacking,,
service,Satisfied,,Quick Delivery,Delayed Delivery
video,Loud ,,Smooth and clear  video recording quality ,Video recording quality not good
video,Clear,Clarity,Smooth and clear  video recording quality ,Video recording quality not good
snapdeal,Product,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
lag,no,no,No lagging problem,Phone lags
delivered,Service,Service,Perfect product delivered,Defective product delivered
delivered,poor,Delayed ,Quick Delivery,Delayed Delivery
budget,good,Price,It's worth the price,It's not worth the price
windows,Transition,,,
budget,low,Low,It's worth the price,It's not worth the price
office,Courier,Courier,,
connectivity,Net,Internet,No issues in browsing and internet connectivity,Browsing and connectivity problems
fast,super,super,,
lag,no,no,No lagging problem,Phone lags
cheap,very,very,It's worth the price,It's not worth the price
fast,Smooth,Smooth,,
internal,8GB,8 GB,8 GB,8 GB
windows,Nice,,,
hanging,Apps,Apps,No hanging even after installing lot of apps,Phone is hanging after many app installation
light,Low,Low,Low light performance is cool,Low light image quality is poor
picture,Low loght,Low light,Low light performance is cool,Low light image quality is poor
snapdeal,Purchase,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
microsoft,Price,Price,Price,Price
budget,nice,Price,It's worth the price,It's not worth the price
snapdeal,Delivery,Delivery,Quick Delivery,Delayed Delivery
snapdeal,Buy,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
day,Screen,Screen,,
day,improvement,improvement,,
day,Brightness,Brightness,,
day,improvement,improvement,,
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
microsoft,Phone,Phone,,
quad core,Faster,,,
Delivery,Improve,Improve,Quick Delivery,Delayed Delivery
windows,Cheapest,,,
budget,Low  ,Low,It's worth the price,It's not worth the price
clarity,Voice,Sound,,
games,Basic,Basic,Excellent for gaming,Not good for gaming
office,MS,MS,microsoft,microsoft
touch,Response,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
games,Light,Light,Heavy games handled easily,Heavy games don't work properly
budget,nice,Price,It's worth the price,It's not worth the price
build,Perfect,Quality,Good body built quality,Body built not good
smooth ,Buttery,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
lag,Doesnt,no,No lagging problem,Phone lags
interface,User,user friendly,UI is simple and smooth,UI is complicated and not smooth
lag,no,no,No lagging problem,Phone lags
lag,no,no,No lagging problem,Phone lags
performance,Android,Android,Android,Android
features,Decent,Decent,,
fast,3G,3G,3G,3G
google,Applications,Applications,Applications,Applications
online,Price,,,
memory ,Internal,Internal,Nice internal memory,Low internal memory space
internal,4GB,4GB,4GB,4GB
Android,3G,,,
lag,no,no,No lagging problem,Phone lags
interface,User,user friendly,UI is simple and smooth,UI is complicated and not smooth
features,Perfect,Perfect,,
sound,Alert,,Good sound quality,Poor sound quality
fast,very,very,,
lag,no,no,No lagging problem,Phone lags
build,superior,Robust,Good body built quality,Body built not good
fast,very,very,,
fast,2G,2G,2G,2G
heavy,Slightly,Slightly,,
Camera,DSLR,DSLR,Camera and picture quality is good,Camera and picture quality is poor
Camera,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Display,amazing,amazing,Suberb display clarity,Display quality not good
fast,very,very,,
Price,Reasonable,Worthy,It's worth the price,It's not worth the price
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
delivered,packaging,packaging,Nice packaging,poor packaging
delivered,nice,Quick,Quick Delivery,Delayed Delivery
fast,Drain,battery drains,,battery drains
budget,lowest,Low,It's worth the price,It's not worth the price
features,Camera,Camera,,
features,Auto,Auto focus,Auto focus,Auto focus
service,Xpressbees,,,
delivered,safely,Quick,Quick Delivery,Delayed Delivery
Bluetooth,connect,Fast,Fast bluetooth sharing,Bluetooth range and sharing is slow
snapdeal,Experience,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
lag,never,no,No lagging problem,Phone lags
performance,Battery,Battery,Battery,Battery
lag,without,no,No lagging problem,Phone lags
features,Battery,Battery,,
features,Life,Life,,
back ,logo,logo,Nice back panel,Back panel not good
body,built,Quality,Good body built quality,Body built not good
Display,Retina,Retina,Retina display is superb,Retina display not upto the mark
fast,very,very,,
lag,no,no,No lagging problem,Phone lags
applications,Multiple,Multiple,Apps run smoothly,Apps don't run smoothly and hangs
fast,extremely,extremely,,
cheap,very,very,It's worth the price,It's not worth the price
sound,Delievered,,,
memory ,Extendable,Expandable,Expandable memory,No expandable memory
service,Courier,,Quick Delivery,Delayed Delivery
snapdeal,Packed,Packaging,Nice packaging,Poor Packaging
snapdeal,Genuine,Genuine,Perfect product delivered,Defective product delivered
clarity,Voice,Sound,,
hardware,Solid,Solid,,
heavy,Body,Body,,Body
memory ,Limited,Less,,Low memory space
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
service,Delay,,Quick Delivery,Delayed Delivery
budget,suits,Price,It's worth the price,It's not worth the price
cheap,good,good,It's worth the price,It's not worth the price
delivered,Express,Quick,Quick Delivery,Delayed Delivery
budget,awesome,Price,It's worth the price,It's not worth the price
smooth ,Pathetic,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
snapdeal,Experience,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
interface,Touch,Touch,UI is simple and smooth,UI is complicated and not smooth
build,better,Quality,Good body built quality,Body built not good
fast,blazing,blazing,,
fast,blazing,blazing,,
